japanese_name,english_name,debut,affiliations,origin,age,birthday,blood_type,bounty,description,devil_fruit_name,avatar_src
ヒップ,Hip,Chapter 1038; Episode 1065,Kid Pirates,N/A,N/A,N/A,N/A,N/A,Hip is a member of the Kid Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Hip_Anime.jpg
シャーロット・シナモン,Charlotte Cinnamon,Chapter 860; Episode 830,Charlotte Family; Big Mom Pirates,Grand Line (Totto Land),35,October 12th,N/A,N/A,"Charlotte Cinnamon is the 16th daughter and 37th child of the Charlotte Family, the younger triplet sister of Smoothie and Citron, and a longleg-human hybrid. She also is an officer of the Big Mom Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Cinnamon_Anime.jpg
シャーロット・ブリュレ,Charlotte Brulee,Chapter 831; Episode 791,Charlotte Family; Big Mom Pirates,Grand Line (At a random port),43,March 6th,S,N/A,Charlotte Brûlée is the eighth daughter and 19th child of the Charlotte Family and the older twin sister of Broyé. She is also an officer of the Big Mom Pirates.,Mira Mira no Mi,https://onepieceql.s3.amazonaws.com/Charlotte_Br%C3%BBl%C3%A9e_Anime.jpg
バイロン,Byron,Chapter 501; Episode 395,N/A,West Blue,25 (debut),December 18th,N/A,N/A,Byron is one of the slaves who was sold at the Human Auctioning House and was the first in the queue for sale. He is a pirate and musician.,N/A,https://onepieceql.s3.amazonaws.com/Byron_Anime.jpg
シャーロット・シブースト,Charlotte Chiboust,Chapter 894; Episode 869,Charlotte Family; Big Mom Pirates,N/A,27,N/A,N/A,N/A,"Charlotte Chiboust is the 30th son and 51st child of the Charlotte Family and an officer of the Big Mom Pirates. He also serves as Totto Land's Minister of Mix (ミックス大臣, Mikkusu Daijin?), governing over Sanshoku Island. He was a member of Charlotte Oven's army to ambush Luffy on Cacao Island.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Chiboust_Anime.jpg
ヒラメラ,Hiramela (Viz); Hiramera (FUNimation),Chapter 608; Episode 527,Mermaid Café,Grand Line (Ryugu Kingdom; Fish-Man Island),N/A,N/A,N/A,N/A,Hiramera is an olive flounder mermaid and a dancer in the Mermaid Café.,N/A,https://onepieceql.s3.amazonaws.com/Hiramera_Anime.jpg
シャーロット・シフォン,Charlotte Chiffon,Chapter 825; Episode 783,Fire Tank Pirates; Charlotte Family (defected),Grand Line (Totto Land),26,January 27th,F,N/A,"Charlotte Chiffon is the 22nd daughter and the 52nd child of the Charlotte Family and Totto Land's former Minister of Puff (ふんわり大臣, Funwari Daijin?, Viz: ""Minister of Fluff"") having governed over Funwari Island until her defection. She is Capone Bege's wife and the mother of Capone Pez, as well as a member of Bege's Fire Tank Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Chiffon_Anime.jpg
ヒナ,Hina,Chapter 171 (cover); Episode 127,Marines (Black Cage Corps),West Blue,32 (debut) 34 (after timeskip),March 3rd,F,N/A,"""Black Cage"" Hina is a Marine officer and a former classmate of Vice Admiral Smoker. She currently leads the Black Cage Corps, a unit (containing Jango and Fullbody among others) tasked with patrolling the seas around the Arabasta Kingdom.",Ori Ori no Mi,https://onepieceql.s3.amazonaws.com/Hina_Anime.jpg
ガイモン,Gaimon,Chapter 22; Episode 18,N/A,East Blue,43 (debut) 45 (after timeskip),August 5th,X,N/A,Gaimon is a former pirate who currently lives as a hermit on the Island of Rare Animals.,N/A,https://onepieceql.s3.amazonaws.com/Gaimon_Anime.jpg
ギャラクシー,Galaxy,Chapter 437 (cover),Automata,N/A,N/A,N/A,N/A,N/A,General Galaxy is one of the automata created on Karakuri Island by Dr. Tsukimi. General Galaxy was first introduced in cover story of Enel's Great Space Operations.,N/A,https://onepieceql.s3.amazonaws.com/Galaxy_Manga.jpg
ガル,Gal,Chapter 680; Episode 606,Marines; G-5,N/A,N/A,N/A,N/A,N/A,Gal is a member of the G-5 branch of the Marines.,N/A,https://onepieceql.s3.amazonaws.com/Gal_Anime.jpg
ヒルルク,Hiriluk Hiruruku (Odex),Chapter 141; Episode 85,N/A,Grand Line (Drum Kingdom),N/A,January 12th,F,N/A,"Dr. Hiriluk was a quack doctor from Drum Island, as well as Tony Tony Chopper's father figure. He was also a former thief.",N/A,https://onepieceql.s3.amazonaws.com/Hiriluk_Anime.jpg
シャーロット・シトロン,Charlotte Citron,Chapter 861; Episode 833,Charlotte Family; Big Mom Pirates,Grand Line (Totto Land),35,October 12th,N/A,N/A,"Charlotte Citron is the 15th daughter and 36th child of the Charlotte Family, the middle triplet sister of Smoothie and Cinnamon, and a longleg-human hybrid. She also is an officer of the Big Mom Pirates and serves as Totto Land's Minister of Eggs (エッグ大臣, Eggu Daijin?), governing over Kimi Island.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Citron_Anime.jpg
イビリブツ,N/A,Chapter 926; Episode 919,Beasts Pirates,N/A,N/A,N/A,N/A,N/A,Ibiributsu is a Waiter of the Beasts Pirates who serves as a guard in the Prisoner Mine of the Udon region of Wano Country. He is in charge of exchanging meal tickets for kibi dango.,N/A,https://onepieceql.s3.amazonaws.com/Ibiributsu_Anime.jpg
シャーロット・コンポート,Charlotte Compote,Chapter 860; Episode 830,Charlotte Family; Big Mom Pirates,N/A,49,October 15th,N/A,N/A,"Charlotte Compote is the eldest daughter and second child of the Charlotte Family and an officer of the Big Mom Pirates. She also serves as Totto Land's Minister of Fruits (フルーツ大臣, Furūtsu Daijin?), governing over Fruits Island.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Compote_Anime.jpg
ひつギスカン公爵,Duke Genghis Baan,Chapter 963; Episode 968,Mokomo Dukedom,N/A,N/A,N/A,N/A,N/A,Duke Hitsugisukan is a sheep mink and the former ruler of the Mokomo Dukedom before Inuarashi and Nekomamushi.,N/A,https://onepieceql.s3.amazonaws.com/Hitsugisukan_Anime.jpg
チェスマーリモ,Chessmarimo,Chapter 147; Episode 87,"Bliking Pirates, Drum Kingdom",N/A,N/A,N/A,N/A,N/A,"Chessmarimo is a fusion of Chess and Kuromarimo, created by Wapol's Baku Baku Factory.",N/A,https://onepieceql.s3.amazonaws.com/Chessmarimo_Anime.jpg
アイデアマン,Ideaman,Chapter 55; Episode 25,Krieg Pirates,East Blue,N/A,March 17th,N/A,N/A,Ideaman is a member of Krieg Pirates. He is the Staff Officer of Planning.,N/A,https://onepieceql.s3.amazonaws.com/Ideaman_Anime.jpg
ジニー,Ginny,Chapter 1095,Revolutionary Army (East Army); Freedom Fighters (former),N/A,N/A,N/A,N/A,N/A,"Ginny was the former East Army commander of the Revolutionary Army, having joined the group alongside Bartholomew Kuma 22 years ago, back when they were known as the Freedom Fighters. She was the mother of Jewelry Bonney.",N/A,https://onepieceql.s3.amazonaws.com/Ginny_Manga.jpg
"イチカ, ニカ, サンカ, ヨンカ, ヨンカツー","Ichika, Nika, Sanka, Yonka, Yonka Two",Chapter 608; Episode 527,Neutral,Grand Line (Ryugu Kingdom; Fish-Man Island),N/A,N/A,N/A,N/A,"The Medaka Mermaid Quintuplets (メダカの人魚の五つ子, Medaka no Ningyo no Itsutsugo?, VIZ Media: Guppy Mermaid Quintuplets) are five young Japanese rice fish mermaids who are friends with Camie. Their names are Ichika, Nika, Sanka, Yonka, and Yonka Two.",N/A,https://onepieceql.s3.amazonaws.com/Medaka_Mermaid_Quintuplets_Anime.jpg
アイスバーグ,Iceberg,Chapter 323; Episode 230,Galley-La Company; Water 7; Tom's Workers (former),Grand Line (Water 7),38 (debut) 40 (after timeskip),January 3rd,X,N/A,Iceburg is the president of the Galley-La company and the mayor of Water 7.,N/A,https://onepieceql.s3.amazonaws.com/Iceburg_Anime.jpg
四鬼ジャキ,Jaki,Chapter 954; Episode 955,Beasts Pirates (Numbers),N/A,N/A,N/A,N/A,N/A,"Jaki is a member of the Numbers in the Beasts Pirates, representing the number ""four"".",N/A,https://onepieceql.s3.amazonaws.com/Jaki_Anime.jpg
ジョルジ,George,Chapter 353; Episode 248,World Government,N/A,N/A,N/A,N/A,N/A,Jorge was the head of the Judicial Ship that sailed to Water 7. He was the one who judged Tom for his support of the Pirate King Gol D. Roger.,N/A,https://onepieceql.s3.amazonaws.com/Jorge_Anime.jpg
ジャクソンバナー,Jackson Burner,Chapter 967; Episode 968,Roger Pirates,N/A,N/A,N/A,N/A,N/A,Jacksonbanner was a member of the Roger Pirates until the crew's dissolution. His current whereabouts and status are unknown.,N/A,https://onepieceql.s3.amazonaws.com/Jacksonbanner_Anime.jpg
ビミネ,Bimine,Chapter 657 (cover),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Bimine_Manga.jpg
シャーロット・エンゼル,Charlotte Angel,Chapter 860; Episode 830,Charlotte Family; Big Mom Pirates,Grand Line (On a boat),45,February 28th,N/A,N/A,Charlotte Angel is the seventh daughter and 17th child of the Charlotte Family and the younger triplet sister of Cracker and Custard. She is also an officer of the Big Mom Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Angel_Anime.jpg
ギャリー,"Jolly, Gary (VIZ Media); Gally (Funimation)",Episode 48; Romance Dawn Story; Chapter 902; Episode 877,Gally Pirates,N/A,N/A,N/A,N/A,"3,450,000 (Loguetown Arc) 5,000,000 (Romance Dawn Story)","""Crescent-Moon"" Gally is the captain of the Gally Pirates, currently active in the East Blue.",N/A,https://onepieceql.s3.amazonaws.com/Gally_Anime.jpg
シャーロット・コンスターチ,Charlotte Cornstarch,Chapter 865; Episode 841,Charlotte Family; Big Mom Pirates,N/A,40,December 16th,N/A,N/A,"Charlotte Cornstarch is the 11th daughter and 27th child of the Charlotte Family and the younger triplet sister of Moscato and Mash. She also is an officer of the Big Mom Pirates and serves as Totto Land's Minister of Love (愛情大臣, Aijō Daijin?), governing over Loving Island.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Cornstarch_Anime.jpg
お花,N/A,Chapter 971; Episode 973,N/A,N/A,N/A,N/A,N/A,N/A,"O-Hana is a citizen of Wano Country, residing in the Flower Capital.",N/A,https://onepieceql.s3.amazonaws.com/Hana_Anime.jpg
ハンバーグ,Hamburg,Chapter 305; Episode 207,Foxy Pirates; Groggy Monsters,N/A,N/A,February 22nd,N/A,N/A,"Hamburg is a combatant of the Foxy Pirates and also the leader of the Groggy Monsters. Along with Porche, he was one of Foxy's first crewmates.",N/A,https://onepieceql.s3.amazonaws.com/Hamburg_Anime.jpg
ハン・バーガー,Ham Burger,Chapter 823; Episode 777,N/A,N/A,N/A,July 20th,N/A,N/A,"Ham Burger is the king of the Ballywood Kingdom, acting as chairman of the most recent Levely.",N/A,https://onepieceql.s3.amazonaws.com/Ham_Burger_Anime.jpg
ダイギン,Daigin,Chapter 531; Episode 432,Marines,West Blue,N/A,August 24th,N/A,N/A,"Daigin is a Marine Commodore who led the team that went to Impel Down to capture the intruder, Monkey D. Luffy.",N/A,https://onepieceql.s3.amazonaws.com/Daigin_Anime.jpg
ガマ・ピョンの助,Toad Boingnosuke,"Chapter 909, Episode 892",N/A,N/A,N/A,N/A,N/A,N/A,Gama Pyonnosuke is a toad that sat atop Usopp's head during his stay in Wano Country.,N/A,https://onepieceql.s3.amazonaws.com/Gama_Pyonnosuke_Anime.jpg
ギオン,Gion,SBS Volume 74; Movie 13; Chapter 907; Episode 887,Marines,N/A,N/A,N/A,N/A,N/A,"Gion, better known by her alias Momousagi, is a Marine vice admiral.",N/A,https://onepieceql.s3.amazonaws.com/Gion_Anime.jpg
ベポ,Bepo,Chapter 498; Episode 392,Heart Pirates,Zou,20 (debut) 22 (after timeskip),November 20th (Fur Day),S,500,Bepo is a polar bear mink and the navigator of the Heart Pirates. He is the younger brother of the late Nox Pirate Zepo.,N/A,https://onepieceql.s3.amazonaws.com/Bepo_Anime.jpg
ディスクJジェイ,Disc J,Chapter 1040; Episode 1079,Kid Pirates,N/A,N/A,N/A,N/A,N/A,Disc J is a member of the Kid Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Disc_J_Manga.jpg
大黒,Daikoku,Chapter 931; Episode 925,Beasts Pirates; Orochi Oniwabanshu; Kurozumi Family,Wano Country,42,May 12th,S,N/A,"Daikoku is a ninja and a member of the Beasts Pirates. He previously was a member of the Orochi Oniwabanshu which served the shogun of Wano Country, Kurozumi Orochi.",N/A,https://onepieceql.s3.amazonaws.com/Daikoku_Anime.jpg
土番長,Earth Boss,Chapter 326 (cover),Ukkari Hot-Spring Island; Gedatsu,N/A,N/A,August 4th,N/A,N/A,The Dirt Boss is a giant mole awoken by Gedatsu during his work for Goro in his cover story.,N/A,https://onepieceql.s3.amazonaws.com/Dirt_Boss_Manga.jpg
ジョバンニ,Giovanni,Chapter 809; Episode 758,Mokomo Dukedom; Inuarashi Musketeer Squad,Grand Line (Mokomo Dukedom),30,July 20th,S,N/A,Giovanni is a zebra mink and one of the Three Inuarashi Musketeers leading the squad.,N/A,https://onepieceql.s3.amazonaws.com/Giovanni_Anime.jpg
ギャルディーノ,Mr. 3/Galdino,Chapter 117; Episode 70,Cross Guild; Buggy's Delivery; Buggy and Alvida Alliance; Baroque Works (formerly),South Blue,35 (debut) 37 (after timeskip),March 3rd,F,"24,000,000","""Loan Shark"" Galdino, alias Mr. 3, is a former officer agent of Baroque Works, alongside his partner Miss Goldenweek.",Doru Doru no Mi,https://onepieceql.s3.amazonaws.com/Galdino_Anime.jpg
ブルーファン,Bluefan,Chapter 516; Episode 410,Kuja; Kuja Pirates,Calm Belt (Amazon Lily),N/A,July 11th,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Blue_Fan_Anime.jpg
ガンビア,Gambia,Chapter 705; Episode 634,Barto Club; Straw Hat Grand Fleet,N/A,N/A,February 18th,N/A,"67,000,000",Gambia the Missionary is the staff officer of the Barto Club. He was also a gladiator competing at the Corrida Colosseum for the Mera Mera no Mi.,N/A,https://onepieceql.s3.amazonaws.com/Gambia_Anime.jpg
アグシリー,Agushily,Chapter 578; Episode 487,Ally of the Whitebeard Pirates,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Agsilly_Anime.jpg
キンデレラ,Kinderella,Chapter 261 (cover); Episode 778,Evil Black Drum Kingdom,N/A,N/A,January 20th,N/A,N/A,"Kinderella, also known as Miss Universe, is a woman who married Wapol after he became the head of his own corporation. Two years after that, she became the queen of Black Drum Kingdom when Wapol became its king.",N/A,https://onepieceql.s3.amazonaws.com/Kinderella_Anime_Post_Timeskip.jpg
キングバーム,Kingbaum,Chapter 836; Episode 797,Big Mom Pirates; Charlotte Family,Grand Line (Totto Land),N/A,July 13th,N/A,N/A,"Kingbaum is a tree homie, a member of the Big Mom Pirates, and the master of the Seducing Woods on Whole Cake Island. However, he was forced to serve the Straw Hat Pirates due to them possessing Charlotte Linlin's Vivre Card.",N/A,https://onepieceql.s3.amazonaws.com/Kingbaum_Anime.jpg
ジャンゴ,"Django (Viz, 4Kids, Funimation subs); Jango (FUNimation dub, WT100, live-action series)",Chapter 25; Episode 9,Marines; Black Cat Pirates (former),East Blue,27 (debut) 29 (after timeskip),December 28th,S,"9,000,000",The subject of this article is sometimes called Django.,N/A,https://onepieceql.s3.amazonaws.com/Jango_Anime.jpg
エイリ君,Eyri,Chapter 866; Episode 836 (mentioned),N/A,N/A,N/A,N/A,N/A,N/A,Eiri is a giant who resided on Elbaf 63 years ago. He was once severely injured by a young Charlotte Linlin.,N/A,https://onepieceql.s3.amazonaws.com/NoPicAvailable.jpg
バガリー,Baggaly,Chapter 561; Episode 489,Whitebeard Pirates,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Baggaley_Manga.jpg
アフェランドラ,Aphelandra,Chapter 514; Episode 408,Kuja; Kuja Pirates,Calm Belt (Amazon Lily),N/A,August 1st,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Aphelandra_Anime.jpg
バン・ドデシネ,N/A,Chapter 823; Episode 777,Levely,East Blue,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Ban_Dedessin%C3%A9e_Anime.jpg
アルビオン,Albion,Chapter 600; Episode 519,Fake Straw Hat Crew (Former); His own crew,N/A,N/A,November 9th,N/A,"92,000,000",N/A,N/A,https://onepieceql.s3.amazonaws.com/Albion_Anime.jpg
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"The Belly, commonly represented as (a Latin lowercase esh superimposed over a capital B), is the world's main monetary unit.",ベリー,https://onepieceql.s3.amazonaws.com/Belly.jpg
シュガー,Sugar,Chapter 682; Episode 608,Donquixote Pirates,North Blue,22 (Physically 10),October 22nd,XF,N/A,"Sugar is a special officer of the Donquixote Pirates' Trebol Army. She was one of the most integral components of Doflamingo's plan in keeping Dressrosa in line, as any dissenters were turned into toys by her Hobi Hobi no Mi powers. She is also the younger sister of Monet. Due to her actions and role, she is a supporting antagonist during the Dressrosa Arc.",Hobi Hobi no Mi,https://onepieceql.s3.amazonaws.com/Sugar_Anime.jpg
エドワード・ウィーブル,Edward Weevil,Chapter 802; Episode 751,Seven Warlords of the Sea (former),Grand Line,35,December 10th,S,"480,000,000","Edward Weevil, or ""Whitebeard Jr."", is a pirate claiming to be the biological son of the now deceased Emperor Edward ""Whitebeard"" Newgate. He is the son of Miss Buckin, the self-proclaimed lover of Newgate. He served as one of the Seven Warlords of the Sea, whom he joined sometime during the two-year timeskip, and did so until the Warlords' dissolution.",N/A,https://onepieceql.s3.amazonaws.com/Edward_Weevil_Anime.jpg
カルー,"Karoo (Viz, 4Kids, Funimation); Kalu (Odex)",Chapter 109; Episode 65,"Super Spot-Billed Duck Troops, Nefertari Vivi, Straw Hat Pirates (former), Baroque Works (former)",Grand Line (Arabasta Kingdom),14 (debut) 16 (after timeskip),November 8th,F,N/A,"Karoo is Nefertari Vivi's pet super spot-billed duck, a fleet riding bird (one of the fastest modes of transportation available in Arabasta). Alongside his owner Vivi, Karoo infiltrated the organization known as Baroque Works. With her, he ended up traveling with the Straw Hat Pirates for most of the Arabasta Saga after their cover was blown. He is the leader of the Super Spot-Billed Duck Troops in Arabasta.",N/A,https://onepieceql.s3.amazonaws.com/Karoo_Anime_Post_Timeskip.jpg
エーガナ,Ehgana,Chapter 483; Episode 375,N/A,N/A,N/A,N/A,N/A,N/A,Egana is Margarita's employer.,N/A,https://onepieceql.s3.amazonaws.com/Egana_Anime.jpg
キンガ,Kinga,Chapter 570; Episode 467,Whitebeard Pirates,N/A,Over 30,N/A,N/A,N/A,Kinga is an infamous New World pirate who was once a member of the Whitebeard Pirates before forming his own crew subordinate to Whitebeard.,N/A,https://onepieceql.s3.amazonaws.com/Kinga_Anime.jpg
カバ紳士,Hippo Gallant (Viz); Gentleman Hippopotamus (Funimation Sub); Hippo Gentleman (Funimation Dub),"Chapter 451, Episode 345",Thriller Bark Pirates,N/A,N/A,N/A,N/A,N/A,Hippo Gentleman was a Wild Zombie who worked under Perona. He was the vice commander of the Wild Zombies.,N/A,https://onepieceql.s3.amazonaws.com/Hippo_Gentleman_Anime.jpg
アタッチ,Attach,SBS Volume 24; Chapter 436; Episode 321,World Economy News Paper; Marines Photography Department (former),N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Attach_Anime_Post_Timeskip.jpg
シャーロット・カウンター,Charlotte Counter,Chapter 845; Episode 809,Charlotte Family; Big Mom Pirates,N/A,46,September 29th,N/A,N/A,"Charlotte Counter is the sixth son and the 11th child of the Charlotte Family and the second quintuplet brother of Opera, Cadenza, Cabaletta, and Gala. He is also an officer of the Big Mom Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Counter_Anime.jpg
スレイマン,Suleiman,Chapter 704; Episode 632,Beautiful Pirates; Underworld (former); Straw Hat Grand Fleet,South Blue,40,January 30th,S,"67,000,000","Suleiman the Beheader is a war criminal who joined as a gladiator at the Corrida Colosseum to compete for the Mera Mera no Mi. He eventually joined the Beautiful Pirates, serving under Cavendish. He is an ally of Luffy during the Dressrosa Arc.",N/A,https://onepieceql.s3.amazonaws.com/Suleiman_Anime.jpg
キングデュー,Kingdew,Chapter 562; Episode 461,Whitebeard Pirates,Grand Line,Over 30,November 13th,N/A,N/A,Kingdew is the former 11th division commander of the Whitebeard Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Kingdew_Anime.jpg
シャーロット・コンポ,Charlotte Compo,Chapter 864; Episode 834,Charlotte Family; Big Mom Pirates,N/A,39,N/A,N/A,N/A,"Charlotte Compo is the 17th son and 28th child of the Charlotte Family and the older twin brother of Laurin. He also is an officer of the Big Mom Pirates and serves as Totto Land's Minister of Pie (パイ大臣, Pai Daijin?), governing over Piepie Island.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Compo_Anime.jpg
ダイブ,Dive,Chapter 1024; Episode 1080,Kid Pirates,N/A,N/A,N/A,N/A,N/A,Dive is a member of the Kid Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Dive_Anime.jpg
イデオ,Ideo,Chapter 706; Episode 633,Ideo Pirates; Straw Hat Grand Fleet,Grand Line,22,October 10th,X,N/A,"""Destruction Cannon"" Ideo is a XXX rank boxer and member of the Longarm Tribe who is the captain of the Ideo Pirates and the captain of the fourth ship of the Straw Hat Grand Fleet. He joined as a gladiator at the Corrida Colosseum to compete for the Mera Mera no Mi, where he met three other gladiators who he would form the then-XXX Gym Martial Arts Alliance with, as well as Monkey D. Luffy, whom he eventually pledged his loyalty towards.",N/A,https://onepieceql.s3.amazonaws.com/Ideo_Anime.jpg
ギャンボ,Gambo,Chapter 905; Episode 883,Revolutionary Army,N/A,N/A,N/A,N/A,N/A,Gambo is the deputy commander of the South Army in the Revolutionary Army and the assistant of Lindbergh.,N/A,https://onepieceql.s3.amazonaws.com/Gambo_Manga.jpg
ダルメシアン,Dalmation (WT100) Dalmatian (OPCG),Chapter 553; Episode 462,Marines,N/A,N/A,November 1st,N/A,N/A,Vice Admiral Dalmatian is one of the many Marine vice admirals to have participated in the Summit War of Marineford.,N/A,https://onepieceql.s3.amazonaws.com/Dalmatian_Anime.jpg
ジスモンダ,Gismonda,Chapter 705; Episode 635,CP0,N/A,N/A,N/A,N/A,N/A,Gismonda is a masked agent of CP0.,N/A,https://onepieceql.s3.amazonaws.com/Gismonda_Anime.jpg
ブリュー,Brew,Chapter 561; Episode 470,Whitebeard Pirates,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Brew_Anime.jpg
カバジ,Cabaji,Chapter 9; Episode 7,"Cross Guild; Buggy and Alvida Alliance, Buggy Pirates",East Blue,32 (debut) 34 (after timeskip),September 8th,X,N/A,"Cabaji the Acrobat is the Buggy Pirates chief of staff, and a member of the Buggy and Alvida Alliance. He is an acrobat swordsman. He was a member of Buggy's Delivery, and is currently a member of Cross Guild.",N/A,https://onepieceql.s3.amazonaws.com/Cabaji_Anime.jpg
ドビー・イバドンボ,Dobby Ibadonbo,Chapter 531; Episode 432,N/A,N/A,N/A,N/A,N/A,N/A,Dobby Ibadonbo is a man imprisoned in Level 6 of Impel Down.,N/A,https://onepieceql.s3.amazonaws.com/Dobby_Ibadonbo_Anime.jpg
ホチャ,Hocha,Chapter 391; Episode 275,Ohara Archaeologists,N/A,N/A,N/A,N/A,N/A,Hocha was one of the archaeologists of Ohara.,N/A,https://onepieceql.s3.amazonaws.com/Hocha_Anime.jpg
ケチャッチ,Kechatch,Chapter 553,Whitebeard Pirates,N/A,N/A,N/A,N/A,N/A,Kechatch is an infamous New World pirate captain who was subordinate to the Whitebeard Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Kechatch.jpg
ゾンビ,Zombie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"In Thriller Bark, there are a variety of strange creatures that inhabit the island. Several of these creatures consist of various beasts and monsters commonly found in mythology and horror stories. They are zombies that are stitched up together in a manner that they resemble the Frankenstein monster. These zombies are all the creations of Dr. Hogback who also calls them mario (没人形マリオ, Mario?, literally meaning ""Death Doll""). They are created with Hogback's surgery and the power of Gecko Moria's Kage Kage no Mi.",N/A,https://onepieceql.s3.amazonaws.com/Zombie.jpg
ジャガー,Jagger,Chapter 1039; Episode 1067,Kid Pirates,N/A,N/A,N/A,N/A,N/A,Jaguar is a member of the Kid Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Jaguar_Anime.jpg
ドーベルマン,Doberman,Chapter 420; Episode 302,Marines,N/A,N/A,October 8th,N/A,N/A,"Vice Admiral Doberman is a veteran Marine officer. He was one of the five vice admirals who led the Buster Call against Enies Lobby, and also took part in the Summit War of Marineford. Two years later, he is one of the nine vice admirals taking part in the siege of Egghead.",N/A,https://onepieceql.s3.amazonaws.com/Doberman_Anime.jpg
スルメ,Surume,Chapter 604; Episode 524,Straw Hat Pirates; New Fish-Man Pirates (defected),North Blue (North Pole),120,June 9th,S,N/A,"Surume is a kraken and famous giant creature which dwells in the deepest parts of the ocean. He was enslaved by the New Fish-Man Pirates, but later became the pet of Monkey D. Luffy, who was the one who gave Surume his name.",N/A,https://onepieceql.s3.amazonaws.com/Surume_Anime.jpg
ヤルル,Jarul,Chapter 866; Episode 836,Giant Warrior Pirates; Elbaf,Grand Line (Elbaf),345 (Debut),December 8th,F,N/A,"""Mountain Beard"" Jarul is a giant and former co-captain of the Giant Warrior Pirates, alongside Jorul. Along with Jorul, he is known as a hero of the giants and one of the world's oldest warriors.",N/A,https://onepieceql.s3.amazonaws.com/Jarul_Anime.jpg
ダマスク,Damask,Chapter 706; Episode 652,N/A,N/A,N/A,N/A,N/A,N/A,Damask is a pyromaniac who joined as a gladiator at the Corrida Colosseum to compete for the Mera Mera no Mi.,N/A,https://onepieceql.s3.amazonaws.com/Damask_Anime.jpg
ナス兵,Eggplant Soldier,Chapter 849; Episode 802,Big Mom Pirates,N/A,N/A,N/A,N/A,N/A,"Eggplant Soldier is a soldier of the Big Mom Pirates, serving as a guard at the Whole Cake Chateau. He was Sanji's helper during his stay at the castle before his planned wedding to Charlotte Pudding.",N/A,https://onepieceql.s3.amazonaws.com/Eggplant_Soldier_Anime.jpg
ジャック,Jack,Chapter 801; Episode 746,Beasts Pirates,Grand Line,28,September 28th,F,"1,000,000,000","Jack the Drought is an All-Star of the Beasts Pirates as one of Kaidou's three closest confidants, and the captain of the Mammoth. He was formerly considered to be the ruler of the region of Kuri in Wano Country. He is also a giant grouper fish-man.","Zou Zou no Mi, Model: Mammoth",https://onepieceql.s3.amazonaws.com/Jack_Anime.jpg
ホエ,Hoe,Chapter 611; Episode 530,King Neptune; Fish-Man Island (Ryugu Kingdom),N/A,N/A,September 13th,N/A,N/A,Hoe is the pet whale of King Neptune who uses him as a means of transportation. The only word he can say is his own name.,N/A,https://onepieceql.s3.amazonaws.com/Hoe_Anime.jpg
アレモ・ガンミー,Peekatha Krotch,Chapter 707; Episode 636,Corrida Colosseum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Aremo_Ganmi_Anime.jpg
グロリオーサ,Gloriosa,Chapter 514; Episode 408,Kuja Rocks Pirates (former),Calm Belt (Amazon Lily),N/A,February 4th,N/A,N/A,"Gloriosa is a former empress of the Kuja tribe from one generation before Shakuyaku, two generations before an unknown Kuja, and three generations before Boa Hancock took over. She is more commonly referred to as ""Elder Nyon"". Over thirty-eight years ago, Gloriosa was part of the legendary Rocks Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Gloriosa_Anime.jpg
半次,N/A,Chapter 929; Episode 922,N/A,N/A,N/A,N/A,N/A,N/A,Hanji is a resident of Wano Country who has been running a pawn shop for over 10 years.,N/A,https://onepieceql.s3.amazonaws.com/Hanji_%28Shopkeeper%29_Anime.jpg
